device,hour,day,temperature,humidity,power,duration,energy
Smart Thermostat,11,26,38.38,51.47,3.3208,5.2576,0.017459
Smart Camera,10,20,15.27,78.58,7.0699,1.5929,0.011262
EV Charger,13,17,36.01,60.06,44.3002,6.0791,0.269305
Smart Camera,22,3,27.44,89.94,7.4246,2.8288,0.021003
Health Monitor,15,5,41.7,40.08,0.8934,5.7582,0.005144
Industrial Sensor,0,19,28.05,39.63,9.1435,0.2413,0.002206
EV Charger,12,12,41.65,31.18,55.4175,3.3721,0.186873
Smart Meter,22,29,35.37,31.48,1.9856,5.7198,0.011357
Smart Camera,20,27,21.71,39.96,10.6134,1.9423,0.020614
Wearable Device,20,7,29.54,75.5,0.2566,6.4328,0.001651
Smart Meter,12,28,41.79,83.4,2.3714,5.1332,0.012173
Smart Lighting,1,9,38.15,88.26,7.7241,1.9467,0.015037
Smart Lighting,3,31,17.63,36.26,4.7008,1.2072,0.005675
Smart Thermostat,5,28,34.07,81.69,2.5479,1.6145,0.004114
Industrial Sensor,22,6,24.33,42.98,10.0375,4.8691,0.048874
Health Monitor,4,29,15.19,27.9,0.676,1.583,0.00107
EV Charger,2,26,25.89,80.9,40.4266,2.2967,0.092848
Edge Gateway,0,17,21.34,64.53,26.1913,1.4605,0.038252
Wearable Device,3,16,37.11,31.53,0.3127,0.7292,0.000228
Smart Camera,19,23,24.11,50.09,10.9904,1.8401,0.020223
Health Monitor,1,31,37.34,40.11,0.6915,0.1083,7.5e-05
Smart Meter,4,3,15.02,71.58,2.2457,1.041,0.002338
Smart Lighting,2,21,23.31,51.74,5.2053,2.4566,0.012787
Wearable Device,8,26,21.51,89.25,0.3523,6.4239,0.002263
Edge Gateway,19,4,21.31,23.83,23.0373,1.7495,0.040304
EV Charger,5,10,16.84,44.85,35.5144,3.1206,0.110826
Smart Thermostat,17,5,20.05,53.73,3.0362,4.119,0.012506
Edge Gateway,5,21,30.0,55.22,23.6167,2.9877,0.07056
Wearable Device,18,22,22.87,42.12,0.3348,5.7334,0.00192
Edge Gateway,11,30,26.27,71.05,27.011,5.8572,0.158209
Wearable Device,10,10,25.18,81.23,0.3055,0.8218,0.000251
Wearable Device,1,12,38.65,85.71,0.331,0.7852,0.00026
Agricultural Sensor,14,10,39.44,76.36,4.0236,0.2196,0.000884
Smart Camera,11,29,28.31,79.54,6.8332,5.8074,0.039683
Smart Lighting,11,13,23.91,58.54,6.7642,2.8711,0.019421
Agricultural Sensor,8,11,17.88,77.81,3.9115,6.3646,0.024895
EV Charger,20,22,40.74,41.25,37.5595,2.8276,0.106203
Agricultural Sensor,23,16,16.63,47.89,2.5183,2.6791,0.006747
Industrial Sensor,1,8,23.04,42.18,13.8086,0.503,0.006946
Industrial Sensor,21,8,23.05,52.72,11.8478,1.5196,0.018004
Smart Lighting,2,27,23.65,39.99,5.8233,1.1672,0.006797
Edge Gateway,11,25,19.44,87.31,19.9141,3.3771,0.067252
Smart Camera,15,8,36.15,41.9,9.3246,2.9048,0.027086
Smart Lighting,20,13,18.31,26.86,4.7155,6.1828,0.029155
Wearable Device,23,27,32.14,56.88,0.3172,0.3964,0.000126
Smart Meter,0,2,18.34,24.0,2.0697,1.1998,0.002483
Smart Camera,20,30,16.9,27.74,7.2652,6.7642,0.049143
Smart Camera,2,30,39.55,35.36,9.3368,0.3011,0.002811
Wearable Device,19,12,20.13,52.5,0.3877,7.5945,0.002944
Wearable Device,1,10,37.17,50.33,0.3646,3.2068,0.001169
Smart Thermostat,8,12,29.71,75.98,3.1639,0.8497,0.002688
Smart Lighting,18,11,17.1,71.76,5.6668,2.4511,0.01389
Wearable Device,14,15,40.8,49.84,0.3865,3.092,0.001195
Industrial Sensor,17,16,21.67,43.36,8.9976,6.2835,0.056536
EV Charger,10,17,38.21,42.15,38.961,4.8578,0.189265
Smart Meter,22,26,19.56,74.18,1.5031,5.2405,0.007877
Smart Lighting,15,2,38.06,23.65,6.2462,6.1343,0.038316
Health Monitor,21,18,15.36,20.9,0.9424,1.082,0.00102
Industrial Sensor,16,12,28.82,75.69,11.5402,6.7324,0.077693
Edge Gateway,4,19,35.77,53.4,29.6792,2.3198,0.06885
Wearable Device,11,26,40.24,29.16,0.3743,4.711,0.001763
Health Monitor,10,23,39.55,36.49,0.9323,7.1789,0.006693
Wearable Device,14,18,37.13,85.28,0.3025,5.6824,0.001719
Smart Camera,2,30,38.98,80.17,9.8295,0.7274,0.00715
Industrial Sensor,0,17,20.38,69.68,11.0275,1.448,0.015968
Smart Camera,19,30,22.67,53.76,6.6215,4.0529,0.026836
Smart Thermostat,15,6,22.8,56.42,3.2767,0.5862,0.001921
Smart Camera,1,25,25.18,88.27,6.9246,3.1067,0.021513
Smart Thermostat,1,15,25.62,87.6,1.9599,0.4963,0.000973
Smart Thermostat,2,3,29.7,35.07,3.2199,2.294,0.007386
Health Monitor,7,6,19.32,76.78,0.7126,1.6897,0.001204
Wearable Device,23,3,33.66,33.81,0.3517,0.171,6e-05
Edge Gateway,14,30,19.52,34.95,22.6808,7.4555,0.169097
Smart Camera,6,29,23.38,67.33,8.178,2.7818,0.02275
Industrial Sensor,5,1,28.59,48.35,10.9193,1.7467,0.019073
Smart Thermostat,8,30,36.5,85.21,2.4911,1.9586,0.004879
Wearable Device,19,13,34.97,26.23,0.3093,1.1108,0.000344
Smart Meter,0,28,32.43,55.81,2.1752,1.2383,0.002694
Smart Lighting,7,21,19.21,84.3,6.0628,0.8972,0.00544
Health Monitor,22,26,29.77,83.29,1.0622,4.1529,0.004411
Edge Gateway,22,14,17.36,30.96,18.3473,7.7846,0.142826
Agricultural Sensor,2,13,25.19,45.66,3.3186,1.9069,0.006328
Health Monitor,3,27,26.16,63.34,0.8723,2.9022,0.002532
Smart Meter,14,4,16.07,31.16,2.204,5.2919,0.011663
Smart Lighting,5,7,22.4,87.76,4.546,1.5918,0.007236
Smart Meter,14,22,40.8,84.03,2.0954,6.9014,0.014461
Smart Camera,20,10,40.75,31.69,11.4125,3.8738,0.04421
Smart Thermostat,2,7,24.51,28.48,2.1988,2.8349,0.006233
Edge Gateway,20,21,16.16,25.98,30.0062,2.4535,0.07362
EV Charger,20,15,19.84,83.66,32.8662,1.1676,0.038375
Smart Thermostat,13,15,25.59,33.55,2.9378,6.907,0.020291
EV Charger,19,4,40.59,49.14,60.0,4.7906,0.287436
Smart Lighting,13,23,18.81,51.42,6.5504,7.1738,0.046991
Wearable Device,3,23,35.61,61.93,0.3156,3.0535,0.000964
Agricultural Sensor,11,6,17.93,25.02,2.361,0.5737,0.001355
Industrial Sensor,16,24,41.49,35.87,16.6787,4.1077,0.068511
Smart Thermostat,6,20,25.3,85.2,2.5456,1.2749,0.003245
Edge Gateway,8,26,35.93,83.59,19.9456,5.0943,0.101609
Smart Meter,2,5,24.25,74.69,2.0557,2.5977,0.00534
Edge Gateway,12,20,31.95,21.36,26.4906,2.3667,0.062695
Smart Lighting,14,12,20.18,42.89,4.7542,4.5487,0.021625
EV Charger,17,1,18.94,63.96,37.7444,5.749,0.216993
Smart Meter,18,28,40.33,39.26,1.5072,1.212,0.001827
Industrial Sensor,0,8,39.78,83.67,13.9086,2.6625,0.037032
Industrial Sensor,5,1,38.96,64.37,14.2172,2.0053,0.02851
Smart Thermostat,22,5,31.89,25.03,2.6848,7.6513,0.020542
Smart Lighting,1,31,36.82,83.63,7.7697,1.1629,0.009035
Wearable Device,23,22,16.86,87.04,0.3588,0.4317,0.000155
Smart Lighting,13,6,24.04,25.44,6.5833,4.1514,0.02733
EV Charger,5,29,23.47,57.27,33.3222,0.3612,0.012036
Edge Gateway,13,21,32.16,41.24,29.7854,7.8093,0.232603
Industrial Sensor,3,3,24.61,47.5,11.806,0.2122,0.002505
Edge Gateway,20,15,19.01,32.58,26.0092,6.1027,0.158726
Edge Gateway,7,5,31.1,60.47,28.9277,1.7493,0.050603
Edge Gateway,2,28,36.99,87.06,25.0825,1.2548,0.031474
Industrial Sensor,18,24,25.32,55.22,15.394,0.6702,0.010317
Health Monitor,13,14,18.57,25.8,0.633,5.0651,0.003206
Smart Camera,19,18,20.31,63.4,9.4229,4.7732,0.044977
EV Charger,16,16,21.41,43.82,32.7518,2.369,0.077589
Health Monitor,7,6,23.1,79.91,1.0183,2.9663,0.003021
EV Charger,23,25,32.36,50.43,37.5896,1.051,0.039507
Smart Meter,13,24,31.23,33.5,1.4759,3.7028,0.005465
Smart Lighting,5,14,33.79,33.38,5.8638,1.8083,0.010604
Smart Lighting,22,27,24.79,73.81,5.751,0.9418,0.005416
Agricultural Sensor,21,24,37.25,38.59,2.9415,7.5141,0.022103
Smart Lighting,15,8,20.51,73.71,6.359,3.1088,0.019769
Industrial Sensor,18,31,27.66,34.41,12.1683,0.7882,0.009591
Wearable Device,13,29,36.63,42.52,0.2411,3.2096,0.000774
Smart Thermostat,18,7,19.86,52.58,2.2587,4.8916,0.011049
Agricultural Sensor,2,8,17.97,86.02,3.7576,1.7131,0.006437
Smart Thermostat,9,13,38.86,85.22,3.0675,5.6369,0.017291
EV Charger,18,6,24.26,34.48,52.3244,0.5883,0.030782
Smart Thermostat,8,18,33.46,45.08,3.002,2.3979,0.007198
Smart Thermostat,19,2,15.68,30.46,2.1972,6.6219,0.01455
Agricultural Sensor,12,8,33.63,55.7,2.6643,0.7812,0.002081
Smart Meter,6,11,23.53,52.24,1.6075,2.7933,0.00449
Edge Gateway,13,1,16.51,83.05,29.4328,0.876,0.025783
Smart Lighting,8,22,31.46,85.1,8.1686,6.7422,0.055074
Smart Lighting,22,29,21.5,46.85,6.0738,3.0002,0.018223
Industrial Sensor,18,6,25.44,54.42,8.9537,4.9865,0.044648
Agricultural Sensor,14,16,17.18,82.74,2.5245,1.3578,0.003428
Industrial Sensor,19,27,18.97,76.47,10.8079,0.6727,0.00727
Wearable Device,13,20,23.05,20.26,0.321,1.8559,0.000596
Wearable Device,23,12,17.42,42.4,0.2259,0.494,0.000112
Industrial Sensor,5,11,39.59,49.52,16.7073,1.0772,0.017997
Agricultural Sensor,20,29,15.16,36.08,2.9019,4.2136,0.012227
Industrial Sensor,3,31,28.06,33.97,15.5753,1.9505,0.03038
Smart Lighting,7,27,18.33,22.64,6.9564,2.586,0.017989
Health Monitor,16,29,23.31,65.04,0.94,5.3343,0.005014
Smart Camera,8,10,40.0,38.38,10.0374,4.9592,0.049777
Smart Thermostat,0,3,19.37,23.66,2.6937,1.3912,0.003747
Smart Camera,23,13,41.08,36.17,10.2585,1.5872,0.016282
Agricultural Sensor,19,27,20.56,76.13,3.473,3.4247,0.011894
Smart Camera,13,3,35.02,79.6,9.5219,6.8031,0.064778
Wearable Device,10,31,29.76,53.81,0.4061,1.967,0.000799
EV Charger,20,15,38.88,49.12,56.4334,0.1952,0.011016
Smart Thermostat,2,16,29.96,88.45,3.0702,2.1482,0.006595
Edge Gateway,8,29,29.43,34.04,32.0646,1.7495,0.056097
Agricultural Sensor,13,13,20.28,35.08,2.7054,7.1819,0.01943
Smart Thermostat,8,17,19.49,40.43,1.9156,6.9365,0.013288
Smart Camera,3,3,39.75,32.09,9.357,0.3325,0.003111
Wearable Device,3,20,23.85,46.56,0.3109,0.4262,0.000133
Smart Meter,7,11,25.05,83.76,2.2124,1.6547,0.003661
Health Monitor,1,27,35.52,63.07,0.8436,2.0151,0.0017
Edge Gateway,8,21,24.15,48.84,26.787,2.3218,0.062194
Health Monitor,13,19,40.71,85.41,0.9072,5.8127,0.005273
Smart Thermostat,21,22,34.92,23.39,1.9992,4.8498,0.009696
Wearable Device,8,11,31.13,34.72,0.341,2.7161,0.000926
Wearable Device,23,30,38.78,59.61,0.3942,0.1702,6.7e-05
Smart Camera,22,31,16.34,63.09,6.7598,6.0762,0.041074
Smart Lighting,15,28,21.94,22.77,6.4384,1.8466,0.011889
Smart Camera,16,16,27.56,48.21,9.3817,6.7423,0.063254
Smart Lighting,15,21,21.13,65.44,4.9162,3.4703,0.017061
Smart Lighting,11,3,35.09,68.86,5.1198,4.7089,0.024109
Edge Gateway,2,22,39.82,64.67,35.4277,2.8485,0.100916
Smart Camera,10,6,26.44,42.44,8.3176,6.9726,0.057995
Smart Meter,13,31,24.24,26.55,1.5656,3.085,0.00483
Industrial Sensor,17,14,40.96,49.9,10.8967,1.8002,0.019616
Industrial Sensor,20,24,27.01,29.01,13.7384,6.2737,0.086191
Smart Camera,20,18,28.2,86.33,9.4927,3.5713,0.033901
Smart Camera,4,17,24.49,53.26,9.4876,0.6969,0.006612
Health Monitor,15,4,39.56,42.21,0.6794,7.295,0.004956
Edge Gateway,19,23,30.36,73.64,32.5324,1.715,0.055793
Smart Camera,4,15,35.58,54.86,8.6771,0.1716,0.001489
Health Monitor,2,11,36.92,41.7,0.7839,0.1541,0.000121
Smart Lighting,11,26,24.23,76.84,6.0483,5.0663,0.030643
Wearable Device,0,3,26.71,80.7,0.2933,2.1809,0.00064
Wearable Device,20,3,37.91,67.11,0.3993,2.6072,0.001041
Smart Lighting,8,16,24.81,23.29,7.7202,2.6781,0.020675
Agricultural Sensor,8,5,36.44,59.64,3.1085,2.832,0.008803
Health Monitor,3,21,40.41,73.43,1.0777,2.2393,0.002413
Health Monitor,2,29,31.83,29.56,0.9938,0.2737,0.000272
Smart Lighting,16,10,35.02,36.01,8.1265,7.49,0.060867
Smart Meter,1,19,36.74,81.77,1.686,0.7932,0.001337
EV Charger,23,25,37.82,21.41,51.7499,3.249,0.168135
Smart Thermostat,0,4,25.67,72.69,2.2602,0.632,0.001428
Smart Lighting,7,29,16.38,53.16,7.0329,2.5281,0.01778
Smart Camera,12,29,25.85,51.27,6.3333,1.915,0.012128
Smart Camera,22,31,33.19,20.5,9.4958,0.7887,0.007489
Edge Gateway,14,19,27.16,77.36,23.7379,7.062,0.167637
Smart Lighting,7,11,35.22,45.19,5.866,2.8037,0.016447
Edge Gateway,11,2,24.64,57.85,27.9461,3.3382,0.09329
Smart Lighting,21,10,32.14,67.41,7.7219,5.6989,0.044006
Health Monitor,11,29,20.03,69.18,0.8569,4.5508,0.0039
Smart Thermostat,13,11,35.23,86.92,3.2688,6.8884,0.022517
Health Monitor,14,25,29.73,57.19,0.7333,2.6389,0.001935
EV Charger,14,20,20.51,47.98,45.9873,4.287,0.197148
Wearable Device,8,16,22.88,86.76,0.2983,3.9844,0.001189
Industrial Sensor,18,19,35.21,64.95,9.4113,2.9459,0.027725
Smart Lighting,19,23,28.03,40.87,6.5055,7.1925,0.046791
EV Charger,21,24,20.83,28.85,49.7609,1.4604,0.072671
Wearable Device,7,11,41.12,78.98,0.3533,0.5624,0.000199
Agricultural Sensor,20,14,34.31,45.35,3.934,4.7076,0.01852
Smart Thermostat,18,2,40.84,66.23,2.9074,5.3442,0.015538
Edge Gateway,5,23,26.53,52.96,19.6061,0.705,0.013822
Edge Gateway,19,28,27.83,33.93,20.4793,3.2367,0.066285
Health Monitor,18,5,39.24,62.12,0.9361,7.6279,0.00714
Smart Camera,3,31,29.18,24.25,7.8233,0.8693,0.006801
Wearable Device,22,27,34.1,48.93,0.2466,5.43,0.001339
Agricultural Sensor,6,5,21.81,58.26,3.125,2.4289,0.00759
EV Charger,3,19,27.06,50.52,48.4877,1.5061,0.073027
Smart Thermostat,21,21,18.33,72.41,2.2536,7.5565,0.017029
Wearable Device,11,12,20.56,77.95,0.3415,5.9696,0.002039
Agricultural Sensor,12,18,15.03,73.99,3.4002,3.7676,0.012811
Industrial Sensor,2,4,16.06,22.72,10.7159,1.8891,0.020243
Smart Lighting,21,22,41.39,33.59,7.7008,5.6216,0.043291
Edge Gateway,11,17,21.54,57.56,27.5605,4.8283,0.13307
EV Charger,1,10,32.91,85.44,52.2121,2.8667,0.149676
Edge Gateway,23,20,37.66,78.45,28.358,1.2178,0.034534
EV Charger,1,6,29.87,78.98,34.376,1.0376,0.035669
Health Monitor,22,25,19.13,41.22,0.8929,1.8393,0.001642
Smart Camera,8,14,34.66,50.06,8.569,0.4485,0.003843
EV Charger,0,11,31.21,52.95,60.0,0.2259,0.013554
Edge Gateway,7,11,34.74,31.02,32.0651,2.8394,0.091046
Health Monitor,22,29,35.78,22.17,0.9164,5.5093,0.005049
EV Charger,5,18,41.34,86.28,43.2642,2.1773,0.094199
Industrial Sensor,5,27,30.49,36.85,10.5971,2.0323,0.021536
Smart Camera,21,23,24.22,36.8,7.9577,6.8588,0.05458
EV Charger,17,22,32.51,25.84,47.6686,3.9441,0.18801
Health Monitor,16,18,16.85,85.0,0.7007,7.0262,0.004923
Wearable Device,11,24,39.23,60.58,0.3355,2.9896,0.001003
Smart Meter,5,23,18.22,66.69,1.4539,3.0184,0.004388
Agricultural Sensor,7,11,23.85,83.81,4.1885,2.2978,0.009624
Smart Meter,18,21,37.03,44.19,1.5328,2.1817,0.003344
Smart Meter,9,12,31.13,63.51,2.3934,4.6063,0.011025
Smart Thermostat,0,5,25.63,22.72,3.2069,1.7744,0.00569
Industrial Sensor,12,23,27.78,33.07,12.7685,1.2394,0.015825
Wearable Device,16,9,38.07,78.19,0.3734,4.8208,0.0018
Smart Lighting,2,27,24.18,73.67,5.9538,1.0847,0.006458
EV Charger,7,31,38.48,44.54,53.4208,0.2554,0.013644
Agricultural Sensor,13,25,17.38,46.38,2.8917,7.6444,0.022105
Smart Camera,2,9,35.97,57.35,8.2262,2.1171,0.017416
Wearable Device,15,22,37.88,20.02,0.3453,7.0777,0.002444
Edge Gateway,12,10,19.91,36.89,25.1613,5.4908,0.138156
Smart Lighting,19,22,26.62,34.58,6.5409,2.9702,0.019428
Smart Thermostat,23,19,19.47,37.53,2.2067,1.7101,0.003774
Smart Thermostat,16,1,34.08,76.41,2.4992,5.4884,0.013717
Wearable Device,12,7,29.45,39.58,0.2418,7.736,0.001871
Health Monitor,5,4,32.15,33.41,0.6381,0.8916,0.000569
Smart Meter,16,1,20.31,55.3,1.5613,7.0623,0.011026
Edge Gateway,13,15,20.72,80.6,19.1407,7.4502,0.142602
Smart Thermostat,16,8,16.12,36.89,1.91,5.4463,0.010402
Agricultural Sensor,7,12,23.7,25.5,3.8757,3.0328,0.011754
Smart Thermostat,10,22,30.11,44.95,1.9537,3.2932,0.006434
Smart Camera,19,22,38.16,72.34,10.2302,7.6788,0.078556
EV Charger,0,18,33.01,58.55,42.1388,2.3108,0.097374
Smart Thermostat,6,15,26.76,77.18,3.1626,0.2227,0.000704
Smart Camera,20,17,40.73,87.17,9.4117,7.3143,0.06884
Wearable Device,20,29,34.42,75.49,0.289,3.9773,0.001149
Wearable Device,16,14,40.11,62.27,0.3374,3.7866,0.001278
Smart Lighting,9,14,29.24,54.53,5.9115,4.6251,0.027341
Smart Thermostat,10,18,21.99,22.8,2.6397,1.3301,0.003511
Agricultural Sensor,21,20,16.43,88.9,2.4683,3.8564,0.009519
Smart Thermostat,8,18,34.6,46.84,3.4817,6.7159,0.023383
Agricultural Sensor,8,16,18.28,30.66,3.0607,0.2723,0.000833
Industrial Sensor,23,1,23.17,66.67,11.2294,0.9524,0.010695
Smart Lighting,4,23,29.38,39.9,7.1054,0.0978,0.000695
Industrial Sensor,16,27,30.24,61.0,11.7502,3.4341,0.040351
Smart Thermostat,8,11,31.22,61.07,3.1752,5.9037,0.018745
Smart Lighting,16,15,19.49,51.2,5.8743,6.4603,0.03795
Industrial Sensor,23,12,25.25,78.53,13.9858,3.0768,0.043032
Smart Meter,20,8,31.66,38.55,1.4929,4.9572,0.007401
Smart Thermostat,18,22,41.19,51.4,3.3515,2.1616,0.007245
Industrial Sensor,6,20,34.65,57.64,14.7726,3.0103,0.04447
Smart Meter,22,30,39.91,66.45,1.6727,6.275,0.010496
Smart Meter,8,6,35.58,74.88,1.564,4.688,0.007332
Wearable Device,6,3,30.98,47.64,0.2861,2.2882,0.000655
Smart Thermostat,12,28,20.18,65.22,3.2085,7.4521,0.02391
Smart Meter,10,24,33.0,30.54,1.6681,5.7779,0.009638
Wearable Device,13,26,31.83,85.29,0.313,3.0602,0.000958
Industrial Sensor,18,30,31.27,46.81,9.3668,5.7829,0.054167
Smart Camera,10,13,28.22,71.07,8.4101,0.4682,0.003938
Smart Thermostat,12,13,29.27,21.42,2.7493,3.2027,0.008805
Smart Lighting,13,2,24.03,34.36,7.7738,3.36,0.02612
Agricultural Sensor,12,5,29.02,54.1,3.4094,1.468,0.005005
Agricultural Sensor,0,17,20.33,81.48,3.8203,0.163,0.000623
Industrial Sensor,7,6,36.74,56.91,13.5048,0.5115,0.006908
Health Monitor,11,2,20.02,85.09,0.5949,5.3215,0.003166
Health Monitor,18,4,17.29,53.87,0.711,6.4881,0.004613
Industrial Sensor,11,22,26.78,54.33,13.0638,7.9568,0.103946
Smart Meter,7,26,32.77,28.38,2.4333,1.1845,0.002882
Smart Thermostat,7,11,26.82,76.19,3.145,1.984,0.00624
Agricultural Sensor,20,8,22.47,37.29,2.76,7.5534,0.020847
Agricultural Sensor,12,12,30.07,82.97,2.8518,1.4696,0.004191
Smart Meter,11,8,24.37,83.76,1.5388,5.8194,0.008955
Agricultural Sensor,15,11,40.19,86.03,4.4254,6.1143,0.027058
Smart Lighting,0,22,39.91,56.42,8.0204,0.3712,0.002977
Smart Thermostat,12,20,28.56,67.4,3.0458,6.9539,0.02118
EV Charger,6,8,23.85,74.5,43.4335,2.6594,0.115507
Agricultural Sensor,4,29,34.9,29.17,3.4846,0.1956,0.000682
Industrial Sensor,7,8,15.99,62.07,11.602,0.3778,0.004383
Smart Lighting,13,26,27.82,22.4,5.4074,0.5381,0.00291
Agricultural Sensor,22,30,24.08,54.83,3.3036,2.7945,0.009232
Smart Lighting,12,17,39.85,30.84,4.8829,4.1734,0.020378
Wearable Device,14,20,15.32,32.8,0.233,4.3555,0.001015
EV Charger,22,20,29.93,45.55,58.2446,2.2646,0.131901
Edge Gateway,16,23,35.0,50.27,31.0761,7.3516,0.228459
Industrial Sensor,14,16,28.1,63.62,12.0507,3.0593,0.036867
Industrial Sensor,19,14,17.31,25.21,12.0434,0.5098,0.00614
Smart Thermostat,17,30,41.26,55.26,2.5911,2.5218,0.006534
Smart Lighting,17,11,28.99,32.78,7.2023,4.3458,0.0313
Smart Meter,1,7,31.58,60.18,2.2362,1.38,0.003086
Industrial Sensor,3,16,21.39,64.62,14.0166,0.9553,0.01339
Smart Lighting,0,13,28.05,58.97,7.1032,0.505,0.003587
Smart Lighting,3,27,26.59,71.68,5.1993,2.6786,0.013927
Smart Camera,17,15,17.02,43.49,7.654,8.0,0.061232
Smart Camera,4,24,17.87,73.56,8.3269,1.1314,0.009421
Edge Gateway,18,16,37.61,50.29,24.8513,3.1648,0.078649
Wearable Device,14,27,21.48,53.89,0.3491,5.0325,0.001757
Edge Gateway,7,21,20.26,65.37,22.7735,2.3603,0.053752
Agricultural Sensor,19,23,28.63,21.29,2.6738,3.247,0.008682
Smart Meter,16,24,35.76,65.78,1.8501,7.2989,0.013504
Agricultural Sensor,0,31,16.67,63.3,4.0389,1.8596,0.007511
Health Monitor,11,9,30.57,41.69,0.7175,3.7081,0.002661
Agricultural Sensor,18,3,18.22,26.01,3.4005,5.2587,0.017882
Smart Thermostat,14,19,15.98,26.37,2.3727,7.6772,0.018216
Agricultural Sensor,8,20,16.42,84.63,2.3895,6.427,0.015357
Edge Gateway,6,5,37.52,68.25,27.309,0.2164,0.00591
Industrial Sensor,1,10,18.19,28.9,13.3662,1.1401,0.015239
Industrial Sensor,8,17,16.22,44.97,11.9474,3.8673,0.046204
Smart Camera,9,15,26.82,61.47,10.7589,2.6347,0.028346
Smart Meter,1,31,37.79,78.49,1.7434,2.3026,0.004014
Smart Meter,18,23,22.09,23.06,1.4005,6.6775,0.009352
Smart Thermostat,10,25,26.39,36.56,3.2534,5.9276,0.019285
Edge Gateway,12,8,16.08,82.28,22.9673,7.9657,0.182951
Smart Camera,9,15,27.13,20.64,9.2741,2.3031,0.021359
Health Monitor,13,31,30.6,34.1,0.9929,7.0624,0.007012
Smart Meter,17,21,30.41,87.13,1.7207,6.2063,0.010679
Industrial Sensor,18,30,23.98,62.94,13.8718,3.0112,0.041771
Agricultural Sensor,21,14,23.52,38.32,2.6004,5.9496,0.015471
Agricultural Sensor,8,20,17.88,24.69,2.8095,0.9722,0.002731
Smart Camera,6,28,24.9,21.97,7.0028,2.5843,0.018097
Edge Gateway,2,7,17.69,37.13,29.3246,1.7722,0.051969
Edge Gateway,19,21,35.7,81.7,22.9402,2.4591,0.056412
Wearable Device,5,23,41.09,49.11,0.3773,2.1623,0.000816
EV Charger,20,12,41.19,70.42,60.0,5.2188,0.313128
Smart Meter,1,17,38.36,84.28,2.0194,0.752,0.001519
Edge Gateway,5,17,31.22,48.56,27.2827,0.1861,0.005077
Industrial Sensor,2,10,33.92,33.39,12.6841,1.4602,0.018521
Smart Camera,15,30,22.7,56.2,7.8241,4.6491,0.036375
Health Monitor,7,29,32.03,83.57,0.845,2.8601,0.002417
Wearable Device,1,19,27.3,76.31,0.3323,3.0232,0.001005
Smart Lighting,16,14,28.01,24.61,8.05,4.3276,0.034837
Smart Thermostat,8,11,35.46,68.48,3.4041,6.105,0.020782
Health Monitor,11,2,22.61,60.03,0.9865,3.6205,0.003572
Smart Lighting,2,18,23.59,83.52,7.5311,2.4476,0.018433
Agricultural Sensor,10,7,39.97,28.57,3.4957,1.7679,0.00618
Smart Thermostat,0,12,16.52,57.38,2.6969,1.2626,0.003405
Smart Meter,22,26,28.11,81.56,2.3179,5.1604,0.011961
Industrial Sensor,12,2,39.65,48.7,12.5183,0.2934,0.003673
Smart Thermostat,14,27,31.48,53.74,3.3754,5.8574,0.019771
EV Charger,4,20,29.75,24.93,45.3698,2.7303,0.123873
Smart Lighting,20,18,21.74,39.47,6.4553,3.3032,0.021323
Smart Meter,16,6,24.27,42.72,2.0771,3.6887,0.007662
EV Charger,22,24,38.01,86.16,60.0,6.8751,0.412506
Agricultural Sensor,23,10,30.1,39.79,2.8998,2.5411,0.007369
EV Charger,5,20,28.9,52.26,54.1381,1.0006,0.054171
Wearable Device,20,15,17.69,66.99,0.3023,2.7094,0.000819
Wearable Device,21,5,15.43,31.35,0.2562,5.5131,0.001412
Smart Camera,10,20,41.02,54.05,11.0085,4.5993,0.050631
Health Monitor,17,3,25.18,71.7,0.8529,1.4316,0.001221
Health Monitor,3,5,31.29,80.68,0.9324,1.0694,0.000997
Smart Meter,2,30,17.15,63.84,1.6066,2.9339,0.004714
Agricultural Sensor,12,25,33.44,66.83,3.4145,5.5866,0.019075
Edge Gateway,22,8,40.18,28.84,29.7161,7.9392,0.235922
Wearable Device,8,8,30.54,86.2,0.3017,6.2094,0.001873
Smart Meter,20,8,18.41,29.28,1.4892,7.5916,0.011305
Edge Gateway,5,12,30.71,74.23,33.6241,0.7732,0.025998
Health Monitor,11,24,35.69,38.54,0.878,6.2447,0.005483
Smart Camera,1,23,25.97,85.35,10.0153,0.1539,0.001541
EV Charger,2,8,38.76,70.4,47.2611,2.2096,0.104428
Wearable Device,2,11,32.51,72.77,0.2954,1.5729,0.000465
Smart Meter,11,14,39.28,35.33,1.8907,2.8894,0.005463
Smart Thermostat,14,8,31.83,51.01,2.5365,6.963,0.017662
Edge Gateway,8,29,18.54,63.25,25.6397,6.8987,0.176881
EV Charger,22,30,23.36,73.9,47.3003,0.3262,0.015429
Wearable Device,7,24,20.45,27.28,0.3026,2.016,0.00061
Health Monitor,10,28,39.54,87.37,0.7031,3.0559,0.002149
Agricultural Sensor,15,10,35.53,82.32,3.4787,3.4337,0.011945
Edge Gateway,21,7,33.26,38.92,21.8464,6.7231,0.146876
Health Monitor,3,28,23.13,77.59,0.6445,1.0691,0.000689
Wearable Device,0,17,19.97,56.28,0.3771,3.07,0.001158
Edge Gateway,23,4,35.42,52.33,28.8565,0.6576,0.018976
